ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
695099630132994049,s/o to my best friend for doing a stellar job singing the national anthem! Love you so much @isaortiz128 ,1454559640,karisblasing17,10,1,3,0,reply
695099299676491777,The brothers of Phi Kappa Theta want to give a shout out to our friend @_17ish with stellar defense on Henry Ellenson tonight! #HALLin,1454559562,PhiKapsSHU,25,1,7,0,reply
695098583851249665,"Agreed!! We have a stellar cast!!  https://twitter.com/aaronmberger531/status/695098233249517570 … <quoted_status> @JillianMurray That was, without a doubt, the best episode of the season! You all killed it tonight! </quoted_status>",1454559391,JillianMurray,9,0,2,695098233249517570,quoted_retweet
695098247757496320,Stellar Dreams: Dimensions - New #Retro #Techno Produced by Khairil Shah & Iqwan Ridzuwan / Lyrics & Vocal by Sophie https://soundcloud.com/stelladreams/dimensions-sd …,1454559311,OZGAmusic,13,0,5,0,reply
695087080096014336,American Crime is simply stellar. Real Talk. #AmericanCrime,1454556648,YsanneBueno,4,0,5,0,reply
695085072286928896,"I don't know who that last guy is, but the rest  of the lineup is stellar. pic.twitter.com/Vch50xSacz",1454556169,SteveHofstetter,16,4,2,0,reply
695084201167597569,"So proud of Kayla Bonstrom! A stellar representative of Stanford University and Stanford Softball. https://twitter.com/stanfordsball/status/695008806196027392 … <quoted_status> Kayla Bonstrom named to the @ASAUSASoftball Collegiate Player of the Year Preseason Top-50 Watch List. #GoStanford
http://stanford.io/1PVaVHS </quoted_status>",1454555962,RachelKHanson,8,0,4,695008806196027392,quoted_retweet
695080906843824128,"""They don't have to be for me, I will be for them"". Stellar answer on why young women are not flocking to Clinton. #DemTownHall",1454555176,MariaTCardona,12,3,17,0,reply
695079721063837696,"Heartbreaking ending to a stellar game.

Thank you fans for showing up and being loud. #BeUncommon #UncommonFanspic.twitter.com/7uSyF31qC4",1454554894,OU_WBBall,12,0,6,0,reply
695073288393850880,"#INA Audio Launch Press Meet part-2
https://www.youtube.com/watch?v=Ja9-JLTQK9g&feature=youtu.be&a …
@iam_str @hariharannaidu @ELAKKS",1454553360,AttakasamEzhil,8,0,7,694930718930051074,reply
