Date,"bitcoin","litecoin","ethereum","dashpay","dogecoin","stellar","ripple","monero"
2016-11-08,11807,225,1578,114,280,20,525,308
2016-11-09,12959,182,1319,105,256,15,312,193
2016-11-10,11493,177,1319,125,260,18,333,245
2016-11-11,10046,172,1220,127,243,19,313,229
2016-11-12,8957,164,973,78,262,16,317,286
2016-11-13,9805,155,977,86,295,14,269,293
2016-11-14,21607,209,1365,115,317,16,321,325
2016-11-15,11771,250,1551,107,299,21,345,317
2016-11-16,12522,217,1412,107,346,20,314,276
2016-11-17,11377,221,1495,124,330,27,309,282
2016-11-18,10650,241,1285,114,328,20,274,253
2016-11-19,8894,129,847,68,289,19,203,218
2016-11-20,10466,198,955,141,267,12,216,217
2016-11-21,11120,211,1552,238,373,13,325,242
2016-11-22,11421,216,1643,131,341,18,295,273
2016-11-23,10960,235,1404,135,310,11,260,259
2016-11-24,11876,219,1309,110,331,12,249,252
2016-11-25,10238,181,1086,97,321,17,242,232
2016-11-26,8430,171,802,101,297,10,197,218
2016-11-27,9523,181,911,83,280,16,214,238
2016-11-28,12311,230,1396,106,320,30,308,337
2016-11-29,14544,233,1357,97,364,25,317,290
2016-11-30,12018,227,1268,115,339,13,301,277
2016-12-01,10921,230,1271,124,382,18,331,326
2016-12-02,11564,229,1173,91,344,21,288,266
2016-12-03,8544,188,862,89,277,9,223,225
2016-12-04,8833,177,904,95,322,13,232,208
2016-12-05,10512,255,1237,112,418,19,284,253
2016-12-06,11527,236,1194,113,345,42,324,272
2016-12-07,10847,219,1208,116,350,93,334,261
2016-12-08,10893,224,1248,144,398,56,314,359
2016-12-09,9588,217,1187,123,314,41,256,295
2016-12-10,8835,150,865,101,296,18,201,245
2016-12-11,8676,228,1002,170,335,18,199,232
2016-12-12,10465,234,1411,133,411,39,262,272
2016-12-13,11745,243,1530,129,415,33,311,279
2016-12-14,11373,203,1471,98,419,22,257,300
2016-12-15,10924,220,1316,118,394,28,248,310
2016-12-16,10416,206,1173,131,393,45,239,237
2016-12-17,8770,214,940,88,407,23,211,275
2016-12-18,9127,227,904,98,356,22,239,268
2016-12-19,11821,236,1174,187,403,21,264,331
2016-12-20,11646,239,1180,145,314,23,238,304
2016-12-21,12246,242,1134,112,373,28,279,301
2016-12-22,13374,277,1208,125,383,29,226,335
2016-12-23,14116,267,1203,115,390,23,229,456
2016-12-24,11547,244,935,107,307,10,204,275
2016-12-25,10882,271,944,100,317,6,186,295
2016-12-26,12433,354,1151,120,568,14,277,416
2016-12-27,13454,292,1354,142,419,22,270,533
2016-12-28,14314,342,1453,144,380,19,248,877
2016-12-29,15813,329,1576,143,395,21,251,510
2016-12-30,16270,372,1408,124,353,20,277,557
2016-12-31,10295,238,1049,92,346,14,187,382
2017-01-01,9554,257,1127,136,313,15,248,414
2017-01-02,22579,528,1935,212,653,25,372,1314
2017-01-03,25183,506,2330,245,586,88,409,1518
2017-01-04,22281,519,2524,274,614,56,446,1241
2017-01-05,24655,526,2593,271,654,45,434,1207
2017-01-06,21964,462,2092,186,535,49,411,815
2017-01-07,17362,387,1835,161,480,24,295,640
2017-01-08,16490,351,1726,176,476,28,346,649
2017-01-09,17720,403,2091,171,461,31,390,645
2017-01-10,16258,385,1895,162,470,34,575,643
2017-01-11,17559,370,2051,158,515,34,698,611
