Date,Trend
2016-07-27,68
2016-07-28,80
2016-07-29,77
2016-07-30,72
2016-07-31,72
2016-08-01,73
2016-08-02,78
2016-08-03,85
2016-08-04,78
2016-08-05,87
2016-08-06,73
2016-08-07,83
2016-08-08,92
2016-08-09,81
2016-08-10,91
2016-08-11,88
2016-08-12,79
2016-08-13,82
2016-08-14,73
2016-08-15,79
2016-08-16,87
2016-08-17,82
2016-08-18,86
2016-08-19,83
2016-08-20,71
2016-08-21,76
2016-08-22,100
2016-08-23,93
2016-08-24,84
2016-08-25,87
2016-08-26,81
2016-08-27,77
2016-08-28,73
2016-08-29,96
2016-08-30,88
2016-08-31,92
2016-09-01,96
2016-09-02,80
2016-09-03,73
2016-09-04,71
2016-09-05,59
2016-09-06,68
2016-09-07,83
2016-09-08,77
2016-09-09,78
2016-09-10,66
2016-09-11,76
2016-09-12,79
2016-09-13,89
2016-09-14,95
2016-09-15,89
2016-09-16,78
2016-09-17,67
2016-09-18,67
2016-09-19,81
2016-09-20,83
2016-09-21,79
2016-09-22,79
2016-09-23,100
2016-09-24,65
2016-09-25,77
2016-09-26,85
2016-09-27,96
2016-09-28,84
2016-09-29,88
2016-09-30,82
2016-10-01,75
2016-10-02,67
2016-10-03,81
2016-10-04,80
2016-10-05,87
2016-10-06,93
2016-10-07,85
2016-10-08,66
2016-10-09,73
2016-10-10,71
2016-10-11,83
2016-10-12,89
2016-10-13,99
2016-10-14,89
2016-10-15,81
2016-10-16,79
2016-10-17,98
2016-10-18,85
2016-10-19,98
2016-10-20,74
2016-10-21,83
2016-10-22,80
2016-10-23,81
2016-10-24,100
2016-10-25,84
2016-10-26,89
2016-10-27,84
2016-10-28,97
2016-10-29,64
2016-10-30,70
2016-10-31,87
2016-11-01,84
2016-11-02,94
2016-11-03,84
2016-11-04,78
2016-11-05,77
2016-11-06,75
2016-11-07,86
2016-11-08,100
2016-11-09,72
2016-11-10,90
2016-11-11,74
2016-11-12,66
2016-11-13,67
2016-11-14,94
2016-11-15,95
2016-11-16,94
2016-11-17,82
2016-11-18,85
2016-11-19,68
2016-11-20,80
2016-11-21,87
2016-11-22,89
2016-11-23,83
2016-11-24,67
2016-11-25,77
2016-11-26,76
2016-11-27,75
2016-11-28,87
2016-11-29,90
2016-11-30,94
2016-12-01,96
2016-12-02,99
2016-12-03,80
2016-12-04,72
2016-12-05,89
2016-12-06,100
2016-12-07,91
2016-12-08,94
2016-12-09,82
2016-12-10,75
2016-12-11,70
2016-12-12,83
2016-12-13,89
2016-12-14,85
2016-12-15,86
2016-12-16,80
2016-12-17,63
2016-12-18,65
