Date,Open,Close,High,Low,Volume,Percentage Change,Classification
384,3.37e-06,3.14e-06,3.4e-06,2.85e-06,111.68157489,0.015673981979489326,1
387,3.13e-06,3.35e-06,3.4e-06,3.05e-06,69.66964161000001,0.01515151560306549,0
390,3.36e-06,3.14e-06,3.42e-06,3.08e-06,59.82845802999999,0.02180685289204121,1
393,3.12e-06,3.14e-06,3.34e-06,3.11e-06,61.19906006,0.01875000074505806,1
396,3.13e-06,3.3e-06,3.36e-06,3.06e-06,103.82080857000001,0.02167182601988316,0
399,3.3e-06,3.15e-06,3.72e-06,2.92e-06,320.37374847,0.018691588193178173,1
402,3.17e-06,3.49e-06,4.599999999999998e-06,3.09e-06,765.09474105,0.0,1
405,3.46e-06,3.49e-06,3.86e-06,3.33e-06,314.78501156000004,0.0028571428265422587,1
408,3.48e-06,3.500000000000001e-06,3.57e-06,3.12e-06,163.43161863,0.0,1
411,3.49e-06,3.74e-06,3.85e-06,3.34e-06,256.5342211899999,0.11163895577192308,1
414,3.75e-06,4.059999999999998e-06,4.62e-06,3.67e-06,1029.5063539800003,0.2604735791683197,1
417,4.049999999999999e-06,4.39e-06,6.2e-06,4.04e-06,2193.77646538,0.043572984635829926,1
420,4.39e-06,4.47e-06,4.929999999999999e-06,4.23e-06,341.71054161,0.056737586855888374,0
423,4.47e-06,3.96e-06,4.48e-06,3.62e-06,385.34448655,0.039370078593492515,0
426,3.94e-06,4e-06,4.049999999999999e-06,3.67e-06,151.15596321,0.025641025975346562,0
429,4e-06,4.15e-06,4.92e-06,3.71e-06,576.54433095,0.06410256773233414,0
432,4.12e-06,3.8e-06,4.15e-06,3.6000000000000007e-06,168.41646228,0.01604278013110161,0
435,3.83e-06,3.69e-06,3.9e-06,3.52e-06,182.31993250999997,0.028947368264198307,1
438,3.72e-06,3.98e-06,4.35e-06,3.56e-06,588.96275263,0.08446866273880005,0
441,3.98e-06,3.65e-06,3.98e-06,3.5899999999999987e-06,219.06419000999995,0.016713092103600502,0
444,3.65e-06,3.16e-06,3.72e-06,2.96e-06,249.07625473000002,0.11267605423927307,0
447,3.17e-06,2.95e-06,3.23e-06,2.55e-06,298.7086196,0.06884057819843292,0
450,3.01e-06,2.7000000000000004e-06,3.09e-06,2.6e-06,153.20714632,0.04929577559232712,1
453,2.71e-06,2.75e-06,2.9699999999999987e-06,2.55e-06,110.28280156,0.0,1
456,2.74e-06,2.73e-06,2.91e-06,2.63e-06,82.29517891,0.0,1
459,2.7000000000000004e-06,2.6e-06,2.86e-06,2.5300000000000003e-06,120.29986912000001,0.03345724940299988,1
462,2.63e-06,2.61e-06,2.78e-06,2.55e-06,60.206025370000006,0.0,1
465,2.61e-06,2.4e-06,2.64e-06,2.22e-06,98.85511709,0.021276595070958138,0
468,2.4e-06,2.44e-06,2.52e-06,2.31e-06,36.11169188,0.0382978729903698,0
471,2.42e-06,2.32e-06,2.4500000000000003e-06,2.23e-06,37.595007169999995,0.017543859779834747,0
474,2.32e-06,2.27e-06,2.34e-06,2.21e-06,56.496543270000004,0.008888889104127884,0
477,2.27e-06,2.27e-06,2.33e-06,2.21e-06,21.297483210000003,0.04608295112848282,0
480,2.27e-06,2e-06,2.28e-06,1.85e-06,95.60821522,0.024390242993831638,1
483,2e-06,1.96e-06,2.12e-06,1.88e-06,49.95760602,0.2846715450286865,1
486,1.96e-06,3.21e-06,4.29e-06,1.86e-06,5075.898750369999,0.01582278497517109,0
489,3.2e-06,2.96e-06,3.42e-06,2.76e-06,1414.1015765099999,0.013698630034923552,0
492,2.9699999999999987e-06,2.73e-06,3.06e-06,2.66e-06,572.88772589,0.2890625,1
495,2.71e-06,3.56e-06,4.12e-06,2.68e-06,2342.6798618700004,0.002801120514050126,1
498,3.56e-06,3.58e-06,3.83e-06,3.49e-06,418.72019772,0.11526479572057725,0
501,3.58e-06,2.8e-06,3.6000000000000007e-06,2.65e-06,472.20925644,0.07284767925739287,1
504,2.79e-06,2.99e-06,3.09e-06,2.79e-06,75.73582192,0.13688212633132935,0
507,2.99e-06,2.61e-06,3.03e-06,2.29e-06,288.87689767999996,0.007604562677443027,1
510,2.62e-06,2.4500000000000003e-06,2.73e-06,2.41e-06,98.6795861,0.02083333395421505,0
513,2.4500000000000003e-06,2.34e-06,2.51e-06,2.33e-06,115.54510443000001,0.09302325546741486,1
516,2.34e-06,2.57e-06,2.8e-06,2.3e-06,272.86925635000006,0.019083969295024872,1
519,2.58e-06,2.58e-06,2.69e-06,2.52e-06,60.21095134000001,0.05494505539536476,1
522,2.57e-06,2.93e-06,3.15e-06,2.5e-06,481.14908347,0.013468013145029543,1
525,2.93e-06,2.89e-06,3.07e-06,2.81e-06,168.49233590999998,0.05090909078717232,0
528,2.89e-06,2.76e-06,3.06e-06,2.38e-06,346.42477008000003,0.07392995804548264,0
531,2.76e-06,2.5e-06,2.81e-06,2.48e-06,137.7774564,0.007936508394777775,1
534,2.51e-06,2.4e-06,2.65e-06,2.35e-06,173.02051828,0.00826446246355772,1
537,2.41e-06,2.42e-06,2.47e-06,2.29e-06,185.55689373,0.008196720853447914,1
540,2.42e-06,2.4e-06,2.78e-06,2.35e-06,296.77675207000004,0.008403361774981022,0
543,2.4e-06,2.36e-06,2.55e-06,2.3e-06,124.56731310999999,0.017241379246115685,0
546,2.37e-06,2.29e-06,2.43e-06,2.22e-06,106.50658375,0.060185186564922326,0
549,2.29e-06,2.2e-06,2.32e-06,2.09e-06,215.95291361000005,0.023255813866853714,0
552,2.2e-06,2.14e-06,2.2599999999999995e-06,2.07e-06,111.03275412,0.02392344549298286,0
555,2.14e-06,2.12e-06,2.25e-06,2.06e-06,210.01108503999995,0.02415458858013153,0
558,2.12e-06,1.94e-06,2.2e-06,1.89e-06,178.46321132000003,0.0051282052882015705,1
561,1.94e-06,1.83e-06,1.98e-06,1.79e-06,143.72814904999998,0.028089888393878937,0
564,1.82e-06,1.5899999999999996e-06,1.87e-06,1.54e-06,237.37469140000005,0.024539876729249958,1
567,1.6e-06,1.5199999999999996e-06,1.69e-06,1.46e-06,184.32304620000002,0.025641025975346562,1
570,1.51e-06,1.45e-06,1.58e-06,9.000000000000002e-07,417.84124674,0.02836879342794418,0
573,1.45e-06,1.39e-06,1.48e-06,1.34e-06,133.39975964,0.10322580486536026,1
576,1.39e-06,1.6e-06,1.74e-06,1.35e-06,461.6274530500001,0.06666667014360428,0
579,1.6e-06,1.54e-06,1.6099999999999996e-06,1.32e-06,408.17609929,0.006451612804085015,1
582,1.55e-06,1.5899999999999996e-06,1.74e-06,1.44e-06,426.47050714,0.019230769947171208,0
585,1.5899999999999996e-06,1.78e-06,1.84e-06,1.49e-06,424.31761163,0.0729166641831398,1
588,1.78e-06,1.83e-06,2.1e-06,1.53e-06,605.42853414,0.05181347206234932,1
591,1.84e-06,2.33e-06,2.39e-06,1.67e-06,1012.5347461200002,0.04484304785728455,0
594,2.32e-06,2.11e-06,2.4500000000000003e-06,1.93e-06,1515.6825140299998,0.12834224104881287,0
597,2.11e-06,2.01e-06,2.2e-06,1.69e-06,1201.47192571,0.19599999487400052,1
600,1.98e-06,2.35e-06,2.7000000000000004e-06,1.85e-06,3688.5842467400003,0.2835365831851959,1
603,2.37e-06,2.75e-06,4.49e-06,2.34e-06,10573.67311588,0.02230483293533325,0
606,2.75e-06,2.42e-06,3.13e-06,2.19e-06,3213.9471036,0.02024291455745697,1
609,2.41e-06,2.33e-06,2.64e-06,2.2e-06,1459.8888266299998,0.004273504484444857,1
612,2.33e-06,2.64e-06,2.73e-06,2.2599999999999995e-06,1513.2524886100002,0.007518797181546687,1
